org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Château de Vincennes,48.844325144,2.4405523462,Bérault,48.84536875,2.4282445096,#FFCD00,1,0.5659478186
Bérault,48.84536875,2.4282445096,Saint-Mandé,48.846238257,2.4189998281,#FFCD00,1,0.4258820831
Saint-Mandé,48.846238257,2.4189998281,Porte de Vincennes,48.847016518,2.4108168823,#FFCD00,1,0.3770486638
Porte de Vincennes,48.847016518,2.4108168823,Nation,48.848111232,2.3980040128,#FFCD00,1,0.589212481
Nation,48.848111232,2.3980040128,Reuilly-Diderot,48.847352877,2.38584254,#FFCD00,1,0.5570974713
Reuilly-Diderot,48.847352877,2.38584254,Gare de Lyon,48.845559787,2.373449205,#FFCD00,1,0.5786373077
Gare de Lyon,48.845559787,2.373449205,Bastille,48.852975675,2.3692188244,#FFCD00,1,0.5475552595
Bastille,48.852975675,2.3692188244,Saint-Paul (Le Marais),48.855134518,2.3613343391,#FFCD00,1,0.3892493169
Saint-Paul (Le Marais),48.855134518,2.3613343391,Hôtel de Ville,48.857355927,2.3520735669,#FFCD00,1,0.4493031282
Hôtel de Ville,48.857355927,2.3520735669,Châtelet,48.858569672,2.3479332458,#FFCD00,1,0.2065743616
Châtelet,48.858569672,2.3479332458,Louvre-Rivoli,48.860879858,2.3409732758,#FFCD00,1,0.3552258984
Louvre-Rivoli,48.860879858,2.3409732758,Palais-Royal (Musée du Louvre),48.862371822,2.3365736007,#FFCD00,1,0.2255355767
Palais-Royal (Musée du Louvre),48.862371822,2.3365736007,Tuileries,48.864780163,2.3290949544,#FFCD00,1,0.3794042388
Tuileries,48.864780163,2.3290949544,Concorde,48.865678096,2.3211937718,#FFCD00,1,0.3655150795
Concorde,48.865678096,2.3211937718,Champs-Elysées-Clémenceau,48.867744026,2.3141227804,#FFCD00,1,0.3525492691
Champs-Elysées-Clémenceau,48.867744026,2.3141227804,Franklin-Roosevelt,48.869010428,2.3102531809,#FFCD00,1,0.1969148369
Franklin-Roosevelt,48.869010428,2.3102531809,George V,48.872045619,2.3007691856,#FFCD00,1,0.4805128437
George V,48.872045619,2.3007691856,Charles de Gaulle-Etoile,48.873931094,2.2951272517,#FFCD00,1,0.2882928025
Charles de Gaulle-Etoile,48.873931094,2.2951272517,Argentine,48.875672486,2.2894441645,#FFCD00,1,0.2856238961
Argentine,48.875672486,2.2894441645,Porte Maillot,48.878006176,2.28246564,#FFCD00,1,0.3566166107
Porte Maillot,48.878006176,2.28246564,Les Sablons (Jardin d'acclimatation),48.881299185,2.271915176,#FFCD00,1,0.5319745135
Les Sablons (Jardin d'acclimatation),48.881299185,2.271915176,Pont de Neuilly,48.885506109,2.2585274702,#FFCD00,1,0.6758329982
Pont de Neuilly,48.885506109,2.2585274702,Esplanade de la Défense,48.88835806,2.2499372129,#FFCD00,1,0.4382636216
Esplanade de la Défense,48.88835806,2.2499372129,La Défense (Grande Arche),48.891826755,2.2379920432,#FFCD00,1,0.5947417136
Nation,48.849423901,2.3970250383,Avron,48.851193819,2.3982391408,#003CA6,2,0.1342512617
Avron,48.851193819,2.3982391408,Alexandre-Dumas,48.8564084,2.3944997576,#003CA6,2,0.3986403955
Alexandre-Dumas,48.8564084,2.3944997576,Philippe Auguste,48.858378841,2.3897347327,#003CA6,2,0.2564076908
Philippe Auguste,48.858378841,2.3897347327,Père-Lachaise,48.863161205,2.3872604002,#003CA6,2,0.3491908135
Père-Lachaise,48.863161205,2.3872604002,Ménilmontant,48.865705788,2.3844293752,#003CA6,2,0.2181179632
Ménilmontant,48.865705788,2.3844293752,Couronnes,48.869329169,2.3805363662,#003CA6,2,0.3068972476
Couronnes,48.869329169,2.3805363662,Belleville,48.872287321,2.3767376773,#003CA6,2,0.2678964658
Belleville,48.872287321,2.3767376773,Colonel Fabien,48.878184982,2.3701745466,#003CA6,2,0.50554398
Colonel Fabien,48.878184982,2.3701745466,Jaurès,48.882768547,2.369945799,#003CA6,2,0.3169008566
Jaurès,48.882768547,2.369945799,Stalingrad,48.884189294,2.367030442,#003CA6,2,0.1651981473
Stalingrad,48.884189294,2.367030442,La Chapelle,48.884388698,2.3592765643,#003CA6,2,0.3536288426
La Chapelle,48.884388698,2.3592765643,Barbès-Rochechouart,48.883680109,2.3495328037,#003CA6,2,0.4467370959
Barbès-Rochechouart,48.883680109,2.3495328037,Anvers,48.88287169,2.3441635728,#003CA6,2,0.2509876063
Anvers,48.88287169,2.3441635728,Pigalle,48.882422528,2.3372546821,#003CA6,2,0.3163888539
Pigalle,48.882422528,2.3372546821,Blanche,48.883770519,2.3324851483,#003CA6,2,0.2364805185
Blanche,48.883770519,2.3324851483,Place de Clichy,48.883455652,2.3273749934,#003CA6,2,0.2338976691
Place de Clichy,48.883455652,2.3273749934,Rome,48.882070834,2.3203983393,#003CA6,2,0.3320382804
Rome,48.882070834,2.3203983393,Villiers,48.881324294,2.3165967615,#003CA6,2,0.1807716671
Villiers,48.881324294,2.3165967615,Monceau,48.880576891,2.3094159462,#003CA6,2,0.3313165655
Monceau,48.880576891,2.3094159462,Courcelles,48.879272152,2.3032985467,#003CA6,2,0.2930219792
Courcelles,48.879272152,2.3032985467,Ternes,48.878228041,2.2981214326,#003CA6,2,0.2467420288
Ternes,48.878228041,2.2981214326,Charles de Gaulle-Etoile,48.873993841,2.2946639618,#003CA6,2,0.3323282176
Charles de Gaulle-Etoile,48.873993841,2.2946639618,Victor Hugo,48.869864912,2.2852262073,#003CA6,2,0.5162160609
Victor Hugo,48.869864912,2.2852262073,Porte Dauphine (Maréchal de Lattre de Tassigny),48.871792216,2.2748699612,#003CA6,2,0.4905081002
Gallieni (Parc de Bagnolet),48.863262527,2.4159753685,Porte de Bagnolet,48.864336535,2.408825376,#837902,3,0.3343146883
Porte de Bagnolet,48.864336535,2.408825376,Gambetta,48.864782701,2.3984458338,#837902,3,0.4742065892
Gambetta,48.864782701,2.3984458338,Père-Lachaise,48.862945662,2.3868924045,#837902,3,0.5418085744
Père-Lachaise,48.862945662,2.3868924045,Rue Saint-Maur,48.864089406,2.3808997886,#837902,3,0.2844107959
Rue Saint-Maur,48.864089406,2.3808997886,Parmentier,48.865259857,2.3747570817,#837902,3,0.2914907296
Parmentier,48.865259857,2.3747570817,République,48.867257944,2.3640373036,#837902,3,0.507827799
République,48.867257944,2.3640373036,Temple,48.866764168,2.361571327,#837902,3,0.1174823003
Temple,48.866764168,2.361571327,Arts-et-Métiers,48.865551864,2.3561081551,#837902,3,0.2627690154
Arts-et-Métiers,48.865551864,2.3561081551,Réaumur-Sébastopol,48.866280359,2.3524847968,#837902,3,0.1726846219
Réaumur-Sébastopol,48.866280359,2.3524847968,Sentier,48.867350381,2.3475672354,#837902,3,0.2360602098
Sentier,48.867350381,2.3475672354,Bourse,48.868761793,2.3406741288,#837902,3,0.3290221781
Bourse,48.868761793,2.3406741288,Quatre Septembre,48.869660572,2.3363282816,#837902,3,0.207615794
Quatre Septembre,48.869660572,2.3363282816,Opéra,48.870720976,2.3322547436,#837902,3,0.1996262656
Opéra,48.870720976,2.3322547436,Havre-Caumartin,48.873461891,2.3284804845,#837902,3,0.2558729937
Havre-Caumartin,48.873461891,2.3284804845,Saint-Lazare,48.875681506,2.3255915848,#837902,3,0.2021484327
Saint-Lazare,48.875681506,2.3255915848,Europe,48.879060439,2.3229746324,#837902,3,0.2621896549
Europe,48.879060439,2.3229746324,Villiers,48.8814051,2.3161470509,#837902,3,0.3508250063
Villiers,48.8814051,2.3161470509,Malesherbes,48.882536473,2.311009243,#837902,3,0.2468579386
Malesherbes,48.882536473,2.311009243,Wagram,48.883712476,2.3055577575,#837902,3,0.2613938833
Wagram,48.883712476,2.3055577575,Pereire,48.885031061,2.2971351115,#837902,3,0.3945032065
Pereire,48.885031061,2.2971351115,Porte de Champerret,48.88573916,2.2918606207,#837902,3,0.2452940101
Porte de Champerret,48.88573916,2.2918606207,Louise Michel,48.889269622,2.2880551248,#837902,3,0.2993128629
Louise Michel,48.889269622,2.2880551248,Anatole-France,48.892018626,2.2855174448,#837902,3,0.2223860025
Anatole-France,48.892018626,2.2855174448,Pont de Levallois-Bécon,48.897309905,2.2807686428,#837902,3,0.4248568583
Porte des Lilas,48.876938224,2.4063765669,Saint-Fargeau,48.871699811,2.4042987242,#6EC4E8,3b,0.3741648146
