node,lat,lon
ADRIENNE BOLLAND,48.872002765,2.4087950861
AEROPORT D'ORLY,48.729913645,2.368029037
ALCIDE D'ORBIGNY,48.965405152,2.3627914675
ALEXANDRA DAVID-NEEL,48.843619616,2.410199314
ANGELIQUE COMPOINT - PORTE DE MONTMARTRE,48.897916436,2.3379089685
AUGUSTE DELAUNE,48.906723202,2.4603086864
AUGUSTE PERRET (CIMETIERE PARISIEN),48.762837717,2.3671648287
AVENUE DE FRANCE,48.825389094,2.3810305828
Abbesses,48.884399715,2.3383993842
Alexandre-Dumas,48.8564084,2.3944997576
Alma-Marceau,48.864298671,2.3012514104
Alésia,48.82806602,2.3268274201
Anatole-France,48.892018626,2.2855174448
Antony,48.754494894,2.3007701501
Anvers,48.88287169,2.3441635728
Arcueil-Cachan,48.798442508,2.328044199
Argentine,48.875672486,2.2894441645
Arts-et-Métiers,48.865551864,2.3561081551
Asnières-Gennevilliers Les Courtilles,48.930293623,2.2837606332
Assemblée Nationale,48.861453904,2.3203096905
Auber,48.87260818,2.3297068164
Aubervilliers Pantin (4 Chemins),48.903898048,2.3924800787
Aulnay-sous-Bois,48.932108763,2.4933095626
Avenue Emile-Zola,48.846852152,2.2954488279
Avron,48.851193819,2.3982391408
BALARD,48.835718625,2.2789296472
BARON LE ROY,48.830174454,2.3931094993
BASILIQUE DE SAINT-DENIS,48.937618355,2.3620002027
BAUDELAIRE,48.942139723,2.3565862505
BELVEDERE,48.876142345,2.2259228541
BOBIGNY - PABLO PICASSO,48.9066436,2.4499199449
BRANCION,48.828546198,2.3007044793
BRETAGNE,48.76827524,2.3682149242
BRIMBORION,48.822123468,2.2313606582
BUTTE DU CHAPEAU ROUGE,48.885166743,2.3967800739
BUTTE PINSON (PARC REGIONAL),48.973609216,2.3658533181
Bagneux,48.793228768,2.3208488828
Balard,48.836814989,2.2786833465
Barbès-Rochechouart,48.88393177,2.3495328037
Basilique de Saint-Denis,48.936477493,2.3596397453
Bastille,48.853739623,2.3692188244
Bel-Air,48.841432007,2.4008691934
Belleville,48.872287321,2.3767510414
Bercy,48.840542783,2.3794772573
Bibliothèque-François Mitterrand,48.829830695,2.3761200093
Billancourt,48.832087644,2.2381607769
Bir-Hakeim (Grenelle),48.854327219,2.2888101037
Blanc-Mesnil,48.93220117,2.4767508712
Blanche,48.883770519,2.3324851483
Bobigny-Pablo-Picasso,48.907147313,2.4494575045
Bobigny-Pantin (Raymond Queneau),48.895799233,2.4248572984
Boissière,48.866856155,2.2900380734
Boissy-Saint-Léger,48.752988645,2.505222846
Bolivar,48.880790123,2.3741551267
Bonne Nouvelle,48.870576754,2.3488621174
Botzaris,48.879607089,2.3894155697
Boucicaut,48.841025355,2.2879238673
Boulogne Pont de Saint-Cloud,48.840680163,2.2283136617
Boulogne-Jean-Jaurès,48.842280144,2.2388629754
Bourg-la-Reine,48.780050938,2.312162626
Bourse,48.868761793,2.3406741288
Brochant,48.890626633,2.3201911213
Bréguet-Sabin,48.856803949,2.3705968196
Bures-sur-Yvette,48.69573265,2.1630896752
Bussy-Saint-Georges,48.836650828,2.7098540585
Buttes-Chaumont,48.877803956,2.3812110997
Buzenval,48.851767475,2.4011814839
Bérault,48.84536875,2.4282445096
CANAL SAINT-DENIS,48.898969161,2.3802612355
CAROLINE AIGLE (ORLYFRET),48.738856524,2.3698417019
CENTRE DE CHATILLON,48.804293077,2.2888295761
CESAR,48.949528301,2.342466901
CHARLEBOURG,48.907437579,2.2382211718
CHATILLON - MONTROUGE,48.81036405,2.3006220245
CHEMIN DES RENIERS,48.934771064,2.3215952045
CIMETIERE DE SAINT-DENIS,48.936422657,2.364073078
CITE UNIVERSITAIRE,48.82004946,2.3391601514
COEUR D'ORLY,48.73350799,2.3716183583
COLETTE BESSON,48.898668492,2.3633856115
COSMONAUTES,48.931817368,2.3782152527
Cadet,48.875825718,2.3433451246
Cambronne,48.847699108,2.3020391437
Campo-Formio,48.835551217,2.3587520952
Cardinal-Lemoine,48.846705869,2.351335179
Censier-Daubenton,48.8405943,2.3517556129
Champigny,48.807035802,2.5099016684
Champs-Elysées-Clémenceau,48.867744026,2.3141910634
Chardon-Lagache,48.84510414,2.266936059
Charenton-Ecoles,48.821489819,2.4138567623
Charles Michels,48.846362976,2.2856310659
Charles de Gaulle-Etoile,48.873993841,2.2951272517
Charonne,48.854642047,2.3850321933
Chatou-Croissy,48.885196016,2.1556393056
Chaussée d'Antin (La Fayette),48.872985825,2.3334262241
Chemin Vert,48.857586544,2.3680366949
Chevaleret,48.834964971,2.3680913459
Château Landon,48.878456567,2.3620537162
Château Rouge,48.887086283,2.3493700733
Château d'Eau,48.872454151,2.3560561681
Château de Vincennes,48.844325144,2.4405523462
Châtelet,48.858956181,2.3479332458
Châtelet-Les Halles,48.861796248,2.3468441316
Châtillon Montrouge,48.810283364,2.301288871
Cité,48.85568485,2.3462029295
Cité Universitaire,48.820768472,2.3394051703
Cluny-La Sorbonne,48.850795756,2.3450308884
Colonel Fabien,48.878184982,2.3701745466
Commerce,48.844613672,2.2938029802
Concorde,48.865678096,2.3214117892
Convention,48.83713695,2.2963960902
Corentin-Cariou,48.894681542,2.382302194
Corentin-Celton,48.826829887,2.2789668616
Corvisart,48.829863252,2.3506227279
Cour Saint-Emilion,48.833520861,2.3862652367
Courcelle-sur-Yvette,48.70093369,2.0990454282
Courcelles,48.879272152,2.3032985467
Couronnes,48.869329169,2.3805363662
Crimée,48.890288775,2.3767786489
Croix-de-Chavaux (Jacques Duclos),48.857999073,2.4358668957
Créteil-L'Echat (Hôpital Henri Mondor),48.796601298,2.4495315244
Créteil-Préfecture (Hôtel de Ville),48.779757258,2.4593142911
Créteil-Université,48.789724316,2.4508361064
DANTON,48.922835208,2.4067651178
DELAUNAY-BELLEVILLE,48.945879365,2.347350938
DELPHINE SEYRIG,48.893973618,2.3979214734
DESNOUETTES,48.834022489,2.284322768
DEWOITINE,48.78344057,2.213486295
DIANE ARBUS - PORTE DES POISSONNIERS,48.898436827,2.351608227
DIDOT,48.825727285,2.3133383996
DIVISION LECLERC,48.794722404,2.2727995332
DOMAINE CHERIOUX,48.779061042,2.3675685643
DRANCY - AVENIR,48.918083495,2.4172859438
Danube,48.881951018,2.3932606759
Daumesnil (Félix Eboué),48.83968214,2.3957880604
Denfert-Rochereau,48.834276813,2.3334427638
Drancy,48.932709809,2.4551053452
Dugommier,48.838876152,2.3893473876
Dupleix,48.850392578,2.2936483362
Duroc,48.846992501,2.3169373108
ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,48.897471019,2.3951039826
EPINAY - ORGEMONT,48.955443335,2.2954293591
EPINAY-SUR-SEINE - GARE,48.955939667,2.3018017525
EPINETTES - POUCHET,48.897637194,2.3248778379
ESCADRILLE NORMANDIE-NIEMEN,48.912902739,2.4350305951
Ecole Militaire,48.854260922,2.3054395605
Ecole Vétérinaire de Maisons-Alfort,48.81507632,2.4216317667
Edgar-Quinet,48.840567726,2.3264028152
Eglise de Pantin,48.893632528,2.412900266
Esplanade de la Défense,48.88835806,2.2499372129
Etienne Marcel,48.863710366,2.3489831961
Europe,48.879060439,2.3229746324
Exelmans,48.842906979,2.2601443979
FAUBOURG DE L'ARCHE,48.896807298,2.2399998438
Faidherbe-Chaligny,48.850067668,2.3844287707
Falguière,48.844323383,2.3175646762
Filles du Calvaire,48.863078176,2.3667458836
Fontenay-aux-Roses,48.787630848,2.292095993
Fontenay-sous-Bois,48.843411859,2.4648154033
Fort d'Aubervilliers,48.914056745,2.4035763345
Franklin-Roosevelt,48.869010428,2.3102531809
Front Populaire,48.906666588,2.3652301359
Félix Faure,48.842824568,2.2922249662
GARE DE GENNEVILLIERS,48.933438207,2.3070277563
GARE DE NOISY-LE-SEC,48.895803743,2.4604190621
GARE DE SAINT-DENIS,48.93603897,2.345248306
GARGES-SARCELLES RER,48.976952372,2.3913430457
GASTON ROULAUD,48.914254052,2.4309698355
GEORGES BRASSENS,48.829461543,2.2964157463
GEORGES MILLANDY,48.783403021,2.2303787276
GEORGES POMPIDOU,48.785044583,2.2369856047
GILBERT BONNEMAISON,48.955366134,2.3077381942
GUYNEMER (STADE AUGUSTE DELAUNE),48.948214678,2.3572297966
Gabriel-Péri,48.916574836,2.2943289647
Gallieni (Parc de Bagnolet),48.863262527,2.4159753685
Gambetta,48.865034298,2.3985414869
Gare d'Austerlitz,48.843719861,2.3641883929
Gare de Lyon,48.845559787,2.3739114213
Gare de l'Est (Verdun),48.876812625,2.3589870465
Gare du Nord,48.880839206,2.3565770154
Gaîté,48.838751821,2.3225091862
Gentilly,48.815249979,2.3409291775
George V,48.872045619,2.3007691856
Gif-sur-Yvette,48.69819921,2.1369288994
Glacière,48.831247952,2.3431220758
Goncourt (Hôpital Saint-Louis),48.870015355,2.370768799
Grands Boulevards,48.871574744,2.3432083775
HELENE BOUCHER (ORLYTECH),48.739838573,2.35981326
HENRI FARMAN,48.83479819,2.2718103602
HONORE DE BALZAC,48.896387184,2.3187171244
HOPITAL AVICENNE,48.915866684,2.42579119
HOPITAL BECLERE,48.786999804,2.2550042904
HOPITAL DELAFONTAINE,48.933616947,2.3711918916
HOPITAL ROBERT DEBRE,48.879493514,2.4011747962
HOTEL DE VILLE DE BOBIGNY,48.906676468,2.4434851094
HOTEL DE VILLE DE LA COURNEUVE,48.927416823,2.3929143193
Havre-Caumartin,48.873461891,2.3289709733
Hoche,48.891499384,2.4031249607
Hôtel de Ville,48.857805373,2.3520735669
INOVEL PARC NORD,48.781548286,2.2089482577
ISSY - VAL DE SEINE,48.829103646,2.2626560674
Invalides,48.861093468,2.3146433553
Iéna,48.8643502,2.2940452638
JACQUELINE AURIOL,48.910687372,2.2340701231
JACQUES PREVERT,48.970859339,2.3657971976
JACQUES-HENRI LARTIGUE,48.824716352,2.2605797776
JEAN MOULIN,48.824568821,2.3186202709
JEAN ROSTAND,48.907834689,2.4542716481
JEAN VILAR,48.952790437,2.343449699
JONCHEROLLES,48.954828772,2.3580374599
Jacques-Bonsergent,48.870700823,2.3605786356
Jasmin,48.852438519,2.267933923
Jaurès,48.882876216,2.3705863362
Javel-André-Citroen,48.84596388,2.2778151264
Joinville-le-Pont,48.821069678,2.4638349563
Jourdain,48.875248295,2.3893294342
Jules Joffrin,48.892496977,2.3443284106
Jussieu,48.845968432,2.3548073927
Kléber,48.871306149,2.2933310209
L'ILE-SAINT-DENIS,48.93588643,2.3399692331
L'ONDE (MAISON DES ARTS),48.782098728,2.1807392815
LA BELLE EPINE,48.756096182,2.3688601684
LA COURNEUVE - 8 MAI 1945,48.920549824,2.411248598
LA COURNEUVE - SIX ROUTES,48.930242387,2.3843790474
LA DEFENSE,48.893066505,2.2374172216
LA FERME,48.909737143,2.4376287301
LA FRATERNELLE,48.741268789,2.3531140687
LA NOUE,48.935131108,2.3268058643
LACEPEDE,48.956067977,2.3115451044
LAMARTINE,48.783276484,2.3672446037
LE LUTH,48.931733536,2.2884512588
LE VILLAGE,48.933398479,2.2946423866
LES CHOLETTES,48.977696637,2.371398281
LES COTEAUX,48.857281643,2.2204879827
LES COURTILLES,48.930113627,2.2831879628
LES FAUVELLES,48.902432659,2.2392940456
LES FLANADES,48.976778179,2.3772952252
LES MILONS,48.849966396,2.2210491848
LES MOULINEAUX,48.821474528,2.251410827
LIBERATION,48.906986138,2.4387686026
LOCHERES,48.978653755,2.3844367944
LOUVOIS,48.780231052,2.1965890249
La Chapelle,48.884388698,2.3592765643
La Courneuve-8-Mai-1945,48.920514507,2.4102257791
La Courneuve-Aubervilliers,48.924023435,2.3844006647
La Défense (Grande Arche),48.892005654,2.2379920432
La Fourche,48.887436843,2.325725222
La Hacquinière,48.695060732,2.1526641368
La Motte-Picquet-Grenelle,48.849018928,2.297952964
La Muette,48.85809505,2.2740964481
La Plaine-Stade de France,48.918116641,2.3626045186
La Tour-Maubourg,48.857227861,2.3097962258
La Varenne-Chennevières,48.794933545,2.5130447577
Lamarck-Caulaincourt,48.889738108,2.3391490867
Laplace,48.807583413,2.3333494015
Laumière,48.884931611,2.3790912469
Le Bourget,48.93068623,2.4256937696
Le Kremlin-Bicêtre,48.810385125,2.3618306831
Le Parc de Saint-Maur,48.805280012,2.4855943248
Le Peletier,48.874963058,2.3401567908
Le Vésinet-Centre,48.890095706,2.1343746143
Le Vésinet-Le Pecq,48.898350894,2.1218289254
Ledru-Rollin,48.851194165,2.375931737
